t,from,to,P
6,D,C,0.0
6,D,D,1.0
7,A,A,0.9676930582161295
7,A,B,0.028130994163036417
7,A,C,0.0027245811204536933
7,A,D,0.001451366500380479
7,B,A,0.023262446821886617
7,B,B,0.9340607850549978
7,B,C,0.036241555176134505
7,B,D,0.0064352129469811906
7,C,A,0.007363880167039063
7,C,B,0.05015019867913575
7,C,C,0.924835610934955
7,C,D,0.01765031021887021
7,D,A,0.0
7,D,B,0.0
7,D,C,0.0
7,D,D,1.0
8,A,A,0.9618350317659472
8,A,B,0.03298675681264013
8,A,C,0.0033296775219573017
8,A,D,0.0018485338994552727
8,B,A,0.019670912393630804
8,B,B,0.9318281437166034
8,B,C,0.04092712040176965
8,B,D,0.00757382348799611
8,C,A,0.006021586180427588
8,C,B,0.044542299944883804
8,C,C,0.9298399552371575
8,C,D,0.019596158637531037
8,D,A,0.0
8,D,B,0.0
8,D,C,0.0
8,D,D,1.0
9,A,A,0.9599266516285795
9,A,B,0.03455829735442005
9,A,C,0.003530886094828957
9,A,D,0.0019841649221714495
9,B,A,0.018721115869290723
9,B,B,0.9309327516736047
9,B,C,0.04240334528844204
9,B,D,0.007942787168662676
9,C,A,0.0056749379049600935
9,C,B,0.043009111955306656
9,C,C,0.931113205043608
9,C,D,0.02020274509612526
9,D,A,0.0
9,D,B,0.0
9,D,C,0.0
9,D,D,1.0
10,A,A,0.9593489992571299
10,A,B,0.03503303835375285
10,A,C,0.003592161861035678
10,A,D,0.002025800528081621
10,B,A,0.018450687751872304
10,B,B,0.9306492418847442
10,B,C,0.042845775331544
10,B,D,0.008054295031839439
10,C,A,0.005576917536477558
10,C,B,0.04256837085275193
10,C,C,0.9314707196152587
10,C,D,0.020383991995511764
10,D,A,0.0
10,D,B,0.0
10,D,C,0.0
10,D,D,1.0
11,A,A,0.9591778901847979
11,A,B,0.03517357983517019
11,A,C,0.003610345153688848
11,A,D,0.0020381848263429157
11,B,A,0.01837200915682454
11,B,B,0.9305642335118979
11,B,C,0.04297644721890895
11,B,D,0.008087310112368696
11,C,A,0.005548456868341567
11,C,B,0.0424397813933081
11,C,C,0.9315742854927436
11,C,D,0.02043747624560675
11,D,A,0.0
11,D,B,0.0
11,D,C,0.0
11,D,D,1.0
12,A,A,0.959127526254028
12,A,B,0.03521493929846452
12,A,C,0.0036157000057541406
12,A,D,0.0020418344417533303
12,B,A,0.01834897284125302
12,B,B,0.9305391248203947
12,B,C,0.04301487593870458
12,B,D,0.008097026399647772
12,C,A,0.005540128793631058
12,C,B,0.04240210072906066
12,C,C,0.9316045693360785
12,C,D,0.02045320114122984
12,D,A,0.0
12,D,B,0.0
12,D,C,0.0
12,D,D,1.0
13,A,A,0.9591127298610647
13,A,B,0.03522708964699717
13,A,C,0.0036172734478727535
13,A,D,0.002042907044065257
13,B,A,0.01834221548265594
13,B,B,0.9305317406411048
13,B,C,0.043026163046674705
13,B,D,0.00809988082956454
13,C,A,0.0055376863015440805
13,C,B,0.04239104500521916
13,C,C,0.9316134492565439
13,C,D,0.020457819436692958
13,D,A,0.0
13,D,B,0.0
13,D,C,0.0
13,D,D,1.0
14,A,A,0.9591083852170504
14,A,B,0.03523065728268552
14,A,C,0.003617735476407676
14,A,D,0.002043222023856479
14,B,A,0.018340232230434794
14,B,B,0.9305295717884917
14,B,C,0.04302947701901994
14,B,D,0.008100718962053485
14,C,A,0.005536969478402877
14,C,B,0.04238779997390269
14,C,C,0.9316160551778395
14,C,D,0.02045917536985495
14,D,A,0.0
14,D,B,0.0
14,D,C,0.0
14,D,D,1.0
15,A,A,0.959107109710481
15,A,B,0.03523170466942422
15,A,C,0.0036178711211858902
15,A,D,0.002043314498908865
15,B,A,0.018339650062186973
15,B,B,0.9305289349980648
15,B,C,0.04303044991844489
15,B,D,0.008100965021303254
15,C,A,0.005536759063698634
15,C,B,0.042386847400441435
15,C,C,0.9316168201005212
15,C,D,0.02045957343533879
15,D,A,0.0
15,D,B,0.0
15,D,C,0.0
15,D,D,1.0
16,A,A,0.9591067352631844
16,A,B,0.035232012147747446
16,A,C,0.003617910942242229
16,A,D,0.0020433416468261813
16,B,A,0.018339479163192732
16,B,B,0.9305287480522811
16,B,C,0.04303073552829208
16,B,D,0.008101037256233939
16,C,A,0.005536697295466598
16,C,B,0.04238656776506172
16,C,C,0.9316170446460057
16,C,D,0.02045969029346596
16,D,A,0.0
16,D,B,0.0
16,D,C,0.0
16,D,D,1.0
17,A,A,0.9591066253391443
17,A,B,0.0352321024121099
17,A,C,0.003617922632262275
17,A,D,0.0020433496164836014
17,B,A,0.018339428994071334
17,B,B,0.9305286931714186
17,B,C,0.0430308193727469
17,B,D,0.00810105846176309
17,C,A,0.005536679162803204
17,C,B,0.04238648567513203
17,C,C,0.9316171105634075
17,C,D,0.020459724598657334
17,D,A,0.0
17,D,B,0.0
17,D,C,0.0
17,D,D,1.0
18,A,A,0.9591065930695952
18,A,B,0.03523212891031668
18,A,C,0.003617926064012073
18,A,D,0.002043351956076028
18,B,A,0.01833941426636065
18,B,B,0.9305286770604333
18,B,C,0.043030843986300575
18,B,D,0.008101064686905503
18,C,A,0.005536673839757635
18,C,B,0.04238646157669585
18,C,C,0.9316171299141871
18,C,D,0.02045973466935947
18,D,A,0.0
18,D,B,0.0
18,D,C,0.0
18,D,D,1.0
19,A,A,0.9591065835964849
19,A,B,0.03523213668918045
19,A,C,0.0036179270714431755
19,A,D,0.0020433526428913925
19,B,A,0.01833940994287014
19,B,B,0.9305286723308586
19,B,C,0.04303085121190108
19,B,D,0.008101066514370115
19,C,A,0.005536672277115964
19,C,B,0.04238645450231896
19,C,C,0.9316171355948317
19,C,D,0.020459737625733342
19,D,A,0.0
19,D,B,0.0
19,D,C,0.0
19,D,D,1.0
20,A,A,0.9591065808155416
20,A,B,0.0352321389727577
20,A,C,0.003617927367186474
20,A,D,0.0020433528445141613
20,B,A,0.01833940867365885
20,B,B,0.9305286709424359
20,B,C,0.043030853333061274
20,B,D,0.008101067050843914
20,C,A,0.0055366718183842084
20,C,B,0.04238645242555265
20,C,C,0.9316171372624514
20,C,D,0.02045973849361173
20,D,A,0.0
20,D,B,0.0
20,D,C,0.0
20,D,D,1.0
