t,from,to,P
7,A,C,0.0038044058965660855
7,A,D,0.002171171195400543
7,B,A,0.017574091407232418
7,B,B,0.9296342370773435
7,B,C,0.044354062910368086
7,B,D,0.008437608605055947
7,C,A,0.005261310887662346
7,C,B,0.04112630116247487
7,C,C,0.9326123229844727
7,C,D,0.021000064965390124
7,D,A,0.0
7,D,B,0.0
7,D,C,0.0
7,D,D,1.0
8,A,A,0.9424732123750862
8,A,B,0.04872468532911579
8,A,C,0.0054496906273751936
8,A,D,0.003352411668422773
8,B,A,0.012894792589444364
8,B,B,0.9208029030373118
8,B,C,0.055020279938185875
8,B,D,0.011282024435058078
8,C,A,0.0036368451805128526
8,C,B,0.03302988376610201
8,C,C,0.9380443265299975
8,C,D,0.025288944523387702
8,D,A,0.0
8,D,B,0.0
8,D,C,0.0
8,D,D,1.0
9,A,A,0.9519685250699169
9,A,B,0.04106165447440209
9,A,C,0.004389274140574038
9,A,D,0.0025805463151070142
9,B,A,0.015553360104264603
9,B,B,0.9266385695495369
9,B,C,0.04833557161263338
9,B,D,0.00947249873356506
9,C,A,0.00454676003857914
9,C,B,0.03771821914560285
9,C,C,0.9351211189097287
9,C,D,0.022613901906089355
9,D,A,0.0
9,D,B,0.0
9,D,C,0.0
9,D,D,1.0
10,A,A,0.9689172083061669
10,A,B,0.027109890765468443
10,A,C,0.0026007034922753453
10,A,D,0.0013721974360891402
10,B,A,0.024177857298428553
10,B,B,0.9343964923890622
10,B,C,0.035229632946760236
10,B,D,0.0061960173657489475
10,C,A,0.007713451175939751
10,C,B,0.051536094278428285
10,C,C,0.9235249240547537
10,C,D,0.017225530490878223
10,D,A,0.0
10,D,B,0.0
10,D,C,0.0
10,D,D,1.0
11,A,A,0.9788543529765944
11,A,B,0.018728013314457635
11,A,C,0.001633758711182946
11,A,D,0.0007838749977650273
11,B,A,0.03534074344065651
11,B,B,0.9339456534237021
11,B,C,0.026478777177066915
11,B,D,0.004234825958574441
11,C,A,0.012183149772078005
11,C,B,0.06731139907264891
11,C,C,0.907037279505828
11,C,D,0.013468171649445
11,D,A,0.0
11,D,B,0.0
11,D,C,0.0
11,D,D,1.0
12,A,A,0.9846913996145779
12,A,B,0.013713834611835665
12,A,C,0.0011050359239378612
12,A,D,0.000489729849648787
12,B,A,0.04823922086116256
12,B,B,0.9279644492335002
12,B,C,0.020733446748117244
12,B,D,0.0030628831572198922
12,C,A,0.01773490955839097
12,C,B,0.08359890275307949
12,C,C,0.8877709796356477
12,C,D,0.01089520805288189
12,D,A,0.0
12,D,B,0.0
12,D,C,0.0
12,D,D,1.0
13,A,A,0.9859518738387207
13,A,B,0.01262036182978559
13,A,C,0.0009957002758315997
13,A,D,0.00043206405566216787
13,B,A,0.052343169356088785
13,B,B,0.9254402754108281
13,B,C,0.01940915188025444
13,B,D,0.0028074033528285133
13,C,A,0.019572565654108805
13,C,B,0.08845003746783227
13,C,C,0.8816909505809568
13,C,D,0.010286446297102087
13,D,A,0.0
13,D,B,0.0
13,D,C,0.0
13,D,D,1.0
14,A,A,0.9879362507674617
14,A,B,0.010890093568176235
14,A,C,0.0008276754664650083
14,A,D,0.00034598019789699254
14,B,A,0.06041983066087933
14,B,B,0.9199293700364226
14,B,C,0.01724755731729962
14,B,D,0.002403241985398523
14,C,A,0.023276069741463644
14,C,B,0.0976120002808117
14,C,C,0.8698342910917626
14,C,D,0.009277638885962112
14,D,A,0.0
14,D,B,0.0
14,D,C,0.0
14,D,D,1.0
15,A,A,0.9633229156752136
15,A,B,0.03175806387068149
15,A,C,0.0031741492816326584
15,A,D,0.001744871172472425
15,B,A,0.020477813607612493
15,B,B,0.9324767305434525
15,B,C,0.03975993747672267
15,B,D,0.007285518372212488
15,C,A,0.006318915954087568
15,C,B,0.04582746769918721
15,C,C,0.9287391423524877
15,C,D,0.01911447399423762
15,D,A,0.0
15,D,B,0.0
15,D,C,0.0
15,D,D,1.0
16,A,A,0.9708531986045256
16,A,B,0.025490217024447325
16,A,C,0.0024067519006896214
16,A,D,0.0012498324703374242
16,B,A,0.025776738153105015
16,B,B,0.9348032598641309
16,B,C,0.03360325043827257
16,B,D,0.0058167515444916005
16,C,A,0.00833078515575797
16,C,B,0.05391854149783231
16,C,C,0.9212116175414214
16,C,D,0.016539055804988264
16,D,A,0.0
16,D,B,0.0
16,D,C,0.0
16,D,D,1.0
17,A,A,0.9656495422258776
17,A,B,0.029830507098785358
17,A,C,0.0029334163548466307
17,A,D,0.0015865343204901933
17,B,A,0.0218750187081548
17,B,B,0.9333871579691527
17,B,C,0.03790432256558862
17,B,D,0.006833500757104013
17,C,A,0.006839673391442421
17,C,B,0.04801734356543883
17,C,C,0.9267983414095798
17,C,D,0.018344641633538994
17,D,A,0.0
17,D,B,0.0
17,D,C,0.0
17,D,D,1.0
18,A,A,0.9883813075781415
18,A,B,0.010500451202159703
18,A,C,0.0007907361957737761
18,A,D,0.0003275050239250667
18,B,A,0.06258289022398215
18,B,B,0.9183565855766301
18,B,C,0.016748272482042508
18,B,D,0.002312251717345241
18,C,A,0.024286148620130708
18,C,B,0.09998678058602833
18,C,C,0.8666853551089417
18,C,D,0.009041715684899294
18,D,A,0.0
18,D,B,0.0
18,D,C,0.0
18,D,D,1.0
19,A,A,0.9844905080389946
19,A,B,0.013887730669321832
19,A,C,0.0011226361480527777
19,A,D,0.000499125143630811
19,B,A,0.04764330061192535
19,B,B,0.9283118278831481
19,B,C,0.02094135567786543
19,B,D,0.0031035158270612106
19,C,A,0.017470718375856755
19,C,B,0.08288250279859136
19,C,C,0.8886565902788336
19,C,D,0.010990188546718275
19,D,A,0.0
19,D,B,0.0
19,D,C,0.0
19,D,D,1.0
20,A,A,0.9800678725628417
20,A,B,0.01769176657911583
20,A,C,0.0015210824701066953
20,A,D,0.0007192783879357702
20,B,A,0.03742915350120816
20,B,B,0.933248593562415
20,B,C,0.025329681271192565
20,B,D,0.003992571665184442
20,C,A,0.013056706605893148
20,C,B,0.07007020483317145
20,C,C,0.9039116166679971
20,C,D,0.012961471892938307
20,D,A,0.0
20,D,B,0.0
20,D,C,0.0
20,D,D,1.0
